CountryCode,TeamName
RO,ACS Sepsi OSK
GB,Southend
DK,AaB
FR,Bordeaux
BR,Itabaiana
BR,Gremio Esportivo Juventus
RO,Botosani
IT,Novara
GB,Motherwell
PY,Sol de America (Par)
NL,FC Groningen
null,Esteghlal FC
GB,Bristol City
BH,Qalali
BR,Sao Paulo (W)
MA,Moghreb Athletic Tetouan
PA,Plaza Amador
CR,Limon
FR,Reims
AR,Central Cordoba
DE,Freiburg
GB,Chester
CO,Santa Fe
GB,Celtic
CR,CS Cartagines
NL,ADO Den Haag
DE,FC Heidenheim
DK,Midtjylland
IT,Atalanta
BR,Ponte Preta
ES,Ponferradina
EC,Tecnico Universitario
GB,AFC Wimbledon
IL,Hapoel Raanana
PA,Atletico Chiriqui
FR,Angers
null,FC Basel
AR,Nueva Chicago
FR,Lille
BR,Ferroviaria
GB,Newcastle
AR,Flandria
IT,Juventus
AR,Deportivo Moron
GB,Crystal Palace
GB,Gloucester
GB,Arsenal
GR,Panachaiki
VE,Deportivo Lara
CM,Coton S De Garoua
GB,Sheff Wed
AR,Instituto
GB,English League 1
ES,CD Badajoz
HN,CD Marathon
UY,Centro Atletico Fenix
CL,Univ Catolica (Chile)
MX,Puebla FC (W)
DE,Hannover
AR,Sacachispas
AT,Admira Wacker
FR,Lyon
BR,Ponte Preta (W)
AR,Almirante Brown
AR,Justo Jose de Urquiza
GB,Southampton
GB,Wolves
null,UEFA Euro 2020
CM,Colombe du Dja et Lobo
BH,Al Budaiya
IT,Ternana
PE,Cusco FC
null,Vancouver Whitecaps
ES,Arroyo
BO,Club Real Santa Cruz
IT,Inter
FR,Marseille
CO,Atletico Bucaramanga
GT,CSD Municipal
GB,Tonbridge Angels
AT,WSG Wattens
NL,Fortuna Sittard
BG,Arda
ES,Cordoba B
IL,Sektzia Nes Tziona
IT,Roma
FR,Valenciennes FC U19
SV,CD Fas
BR,SE Palmeiras
IT,Cagliari
CL,Audax Italiano
IT,Italian Cup
IL,MS Daburya Osama
ES,Barcelona
SV,CD Municipal Limeno
DE,FC Koln
TR,Antalyaspor
IT,Sambenedettese
GB,Charlton
IT,SS Virtus Verona 1921
AR,CA San Miguel
GB,Burnley
GR,Panaitolikos
GB,Brentford
CO,Jaguares de Cordoba
PT,CF Esperanca de Lagos
AR,Gimnasia Mendoza
AR,San Martin de Burzaco
BE,Zulte
GB,Gateshead
GT,Antigua GFC
BE,KV Oostende
FR,Brest
BR,Operario PR
GB,Chelsea (W)
DZ,MC Oran
AT,Wolfsberger AC
GB,Alfreton Town
JM,Dunbeholden FC
IT,Alessandria
MX,Necaxa
BE,Standard
ES,Granada
PY,12 de Octubre de Itaugua
GB,Blackburn
AR,CSD Yupanqui
DK,Silkeborg
GB,Watford
AR,Newells
CO,Cortulua
CO,Deportivo Pereira
ES,Olimpic Xativa
CL,Union Espanola
GB,Liverpool (W)
BR,Atletico MG
EG,Misr El Makasa
IT,US Virtus Francavilla Calcio
null,Portland Timbers
VE,Puerto Cabello
VE,Carabobo FC
BR,Cianorte PR
null,UEFA Europa League
IL,Maccabi Tel Aviv
AR,Central Cordoba (SdE)
IT,Giana Erminio
DE,Karlsruhe
null,Basaksehir
ES,San Fernando CD
IT,SSD Bari
ES,Sociedad B
BR,Botafogo PB
BG,Slavia Sofia
NL,Vitesse Arnhem
AR,San Martin de Tucuman
AR,General Lamadrid
AR,AD Berazategui
TR,Alanyaspor
MX,Atletico San Luis (W)
GB,Brackley Town
JM,Vere United FC
FR,St Etienne
AR,Talleres (RE)
GB,Scottish FA Cup
IT,Genoa
DE,Schalke 04
null,APOEL
MX,CF America (W)
PE,Alianza Universidad
GR,Aris
GB,Aston Villa
GB,Plymouth
BR,PSTC Procopense
BR,SER Caxias do Sul
GB,Kings Lynn
PL,Cracovia Krakow
null,Lask Linz
IT,Lazio
VE,Metropolitanos
DE,Erzgebirge
FR,Lens
BR,Brusque FC
DE,Dynamo Dresden
PT,Oliveirense
IT,Parma
DE,Bochum
IT,Bologna
NL,Az Alkmaar
TR,Rizespor
GB,Preston
PY,General Diaz
IT,Albinoleffe
MX,Queretaro
TR,Istanbulspor
IT,Ravenna
AR,Olimpo
HU,Bekescsaba
GR,OFI
PT,Guimaraes
GB,Middlesbrough
AR,Argentino de Quilmes
PT,Olhanense
null,Braga
ES,To Qualify
PT,Penafiel
IT,Cavese
MX,Universidad Guadalajara
BR,Volta Redonda
GB,Leamington
BR,Palmeiras (W)
PT,Sporting Lisbon U19
AR,CD Maipu
AR,Sportivo Italiano
GB,Leicester
IT,Italian Serie A
DE,Bayern Munich
BR,Sertaozinho
IT,Brescia
AR,CSD Central Balleste
RO,Academica Clinceni
CL,Colo Colo
